id,name,cuisine_type,price_normal,price_alt,menu_details,includes_dessert,includes_drink,schedule,days_from,days_to,excluded_day,open_time,close_time,phone,website,google_maps_url,google_place_id
1,Kemo,Asian,12.5,,Starter + Main + Drink,False,True,Mon–Fri 12:30–16:00,Mon,Fri,,12:30,16:00,+34936227430,https://www.kemo.es/,https://maps.app.goo.gl/hKjv4da1bbxRDNpw9,ChIJd1V-d_OipBIRk2tJR6Ilzi8
2,Lady babka,Mediterranean,18.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34931267051,http://ladybabka.es/,https://maps.app.goo.gl/T4R5MNDjj85We6LY6,ChIJiZWAJLmjpBIRr41fGxzzhBU
3,Vabowl,Asian,13.9,,Starter + Dim Sum + Main + Dessert + Drink,True,True,Mon–Fri 12:30–16:00,Mon,Fri,,12:30,16:00,+34936844115,https://vabowl.com/,https://maps.app.goo.gl/m3PThf6XsgMX2bop6,ChIJy7JDzvGjpBIReD2kIZ5wYvs
4,Kobe,Japanese,15.95,,Starter + Sushi + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34615219121,https://kobebcn.com/,https://maps.app.goo.gl/mVHCBQzfEtr6Yxxa9,ChIJGbZRPZijpBIR83Hd4qrvrnc
5,Via granados,Spanish,17.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:30,Mon,Fri,,13:00,15:30,+34937070621,https://viagranados.com/?utm_source=google&utm_medium=organico&utm_campaign=gbp&utm_id=enlace+web,https://maps.app.goo.gl/ebRcfY59TjvE2e2o6,ChIJIfWp1I-ipBIRhFFsCgHhQ1c
6,La Martina,Catalan,18.0,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:30,Mon,Fri,,13:00,15:30,+34932853943,http://lamartinadegracia.com/,https://maps.app.goo.gl/aMpqsKGTtA43TG7M6,ChIJoxhPyFSjpBIRtwOMUscSLv4
7,Oishii Remen,Asian,14.5,,Starter + Main + Dessert + Drink,True,True,Tue–Fri 13:00–16:00,Tue,Fri,,13:00,16:00,+34613270042,http://www.oishiiramen.com/,https://maps.app.goo.gl/Kj6jXDp2pp15ktUk6,ChIJSwuRmPqipBIRsPPvzN9uNps
8,Pho Ha Noi,Vietnamese,13.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34930101092,http://phohanoibarcelona.com/,https://maps.app.goo.gl/wu4u6HhJiimSg1y69,ChIJ65tSeIyipBIRmnRniTpTLO0
9,Royal Nepal,Nepalese,14.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri (excl. Wed) 13:00–16:00,Mon,Fri,Wed,13:00,16:00,+34931054243,http://www.royalnepalbcn.com/,https://maps.app.goo.gl/pM3dZSoEpLp3DnaK8,ChIJO1iQHsKipBIR2XVDsXqwpBo
10,Mi Tierra,Colombian,13.5,,Starter + Main + Drink,False,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34934407121,https://mytierra.es/,"https://maps.app.goo.gl/BBJzmomZWaVTgCqFA
",ChIJB3aEIfOYpBIRadElqY8lBfw
